id,value,valueReal,type
range,
range.знижка,
range.знижка.0-10%,215,315,applience
range.знижка.10-20%,519,506,applience
range.знижка.20-30%,224,154,applience
range.знижка.30-40%,49,23,applience
range.знижка.40-50%,18,7,applience
range.знижка.50-60%,0,1,applience
range.націнка,
range.націнка.10-1%,0,17,applience
range.націнка.20-10%,0,2,applience
range.знижка.0-10%,36,3090,clothes
range.знижка.10-20%,71,652,clothes
range.знижка.20-30%,137,570,clothes
range.знижка.30-40%,124,553,clothes
range.знижка.40-50%,933,235,clothes
range.знижка.50-60%,1102,90,clothes
range.знижка.60-70%,625,76,clothes
range.знижка.70-80%,1046,40,clothes
range.знижка.80-90%,1742,1,clothes
range.знижка.90-100%,463,0,clothes
range.націнка.10-1%,0,762,clothes
range.націнка.20-10%,0,97,clothes
range.націнка.30-20%,0,36,clothes
range.націнка.40-30%,0,29,clothes
range.націнка.50+%,0,27,clothes
range.націнка.50-40%,0,21,clothes
range.знижка.0-10%,251,3405,total
range.знижка.10-20%,590,1158,total
range.знижка.20-30%,361,724,total
range.знижка.30-40%,173,576,total
range.знижка.40-50%,951,242,total
range.знижка.50-60%,1102,91,total
range.знижка.60-70%,625,76,total
range.знижка.70-80%,1046,40,total
range.знижка.80-90%,1742,1,total
range.знижка.90-100%,463,0,total
range.націнка.10-1%,0,779,total
range.націнка.20-10%,0,99,total
range.націнка.30-20%,0,36,total
range.націнка.40-30%,0,29,total
range.націнка.50+%,0,27,total
range.націнка.50-40%,0,21,total
