"id","bigGat","shop_discount","real_discount"
"c-1005403","Побутова техніка",17,17
"c-1006453","Побутова техніка",9,2
"c-1006454","Побутова техніка",9,2
"c-1006457","Побутова техніка",9,-3
"c-1008446","Телефони, аксесуари",33,27
"c-1008447","Телефони, аксесуари",33,28
"c-1012408","Побутова техніка",20,9
"c-1012658","Побутова техніка",15,14
"c-1014707","Телефони, аксесуари",29,22
"c-1014709","Телефони, аксесуари",29,23
"c-1015530","Побутова техніка",10,3
"c-1017828","Побутова техніка",41,27
"c-1018323","Побутова техніка",10,6
"c-1019156","Побутова техніка",20,18
"c-1020455","Побутова техніка",14,-11
"c-1020567","Побутова техніка",20,20
"c-1023095","Побутова техніка",20,8
"c-1023111","Побутова техніка",23,0
"c-1023116","Побутова техніка",23,19
"c-1023117","Побутова техніка",23,19
"c-1028411","Побутова техніка",30,28
"c-1032058","Телефони, аксесуари",27,0
"c-1033490","Побутова техніка",8,4
"c-1034138","Побутова техніка",15,14
"c-1037205","Побутова техніка",10,9
"c-1037493","Побутова техніка",15,8
"c-1037962","Побутова техніка",45,44
"c-1041876","Побутова техніка",15,12
"c-1042448","Побутова техніка",15,13
"c-1045439","Побутова техніка",24,18
"c-1055794","Побутова техніка",6,4
"c-1056384","Побутова техніка",7,6
"c-1060633","Ноутбуки, планшети",6,8
"c-1060641","Ноутбуки, планшети",7,9
"c-1062069","Побутова техніка",18,14
"c-1062232","Побутова техніка",10,9
"c-1062512","Побутова техніка",22,20
"c-1062827","Побутова техніка",15,5
"c-1064115","Телефони, аксесуари",27,17
"c-1064299","Ноутбуки, планшети",14,14
"c-1065648","Побутова техніка",15,13
"c-1068107","Побутова техніка",30,24
"c-1070110","Побутова техніка",8,8
"c-1076029","Побутова техніка",7,4
"c-1076031","Побутова техніка",7,3
"c-1076035","Побутова техніка",7,4
"c-1077513","Ноутбуки, планшети",11,10
"c-1081942","Побутова техніка",15,13
"c-1082005","Побутова техніка",20,-4
"c-1082006","Побутова техніка",22,-3
"c-1082008","Побутова техніка",21,4
"c-1082010","Побутова техніка",31,28
"c-1082011","Побутова техніка",29,14
"c-1082590","Побутова техніка",35,35
"c-1083548","Побутова техніка",14,9
"c-1083828","Телевізори",15,7
"c-1084892","Побутова техніка",15,10
"c-1089192","Побутова техніка",25,21
"c-1089831","Побутова техніка",15,12
"c-1089836","Побутова техніка",15,12
"c-1089838","Побутова техніка",15,14
"c-1090637","Ноутбуки, планшети",18,17
"c-1092478","Ноутбуки, планшети",18,14
"c-1092479","Ноутбуки, планшети",18,17
"c-1094711","Побутова техніка",12,10
"c-1094881","Побутова техніка",26,23
"c-1094882","Побутова техніка",9,5
"c-1095178","Побутова техніка",20,20
"c-1100540","Побутова техніка",28,28
"c-1100654","Побутова техніка",5,6
"c-1100710","Телефони, аксесуари",19,16
"c-1100712","Телефони, аксесуари",19,16
"c-1100713","Телефони, аксесуари",19,16
"c-1103484","Телефони, аксесуари",14,14
"c-1103485","Телефони, аксесуари",14,14
"c-1103486","Телефони, аксесуари",14,14
"c-1103487","Телефони, аксесуари",14,14
"c-1103785","Побутова техніка",15,13
"c-1104145","Побутова техніка",46,46
"c-1104167","Побутова техніка",14,14
"c-1105508","Побутова техніка",10,2
"c-1105980","Побутова техніка",46,46
"c-1106908","Телефони, аксесуари",17,20
"c-1106909","Телефони, аксесуари",17,20
"c-1107555","Побутова техніка",17,16
"c-1109461","Побутова техніка",18,13
"c-1112721","Побутова техніка",13,12
"c-1114714","Побутова техніка",15,13
"c-1115354","Побутова техніка",10,5
"c-1116265","Побутова техніка",20,-8
"c-1116603","Побутова техніка",29,23
"c-1117156","Побутова техніка",15,9
"c-1117328","Побутова техніка",19,18
"c-1118607","Побутова техніка",30,7
"c-1118609","Побутова техніка",23,12
"c-1118703","Побутова техніка",10,13
"c-1119446","Побутова техніка",15,10
"c-1122790","Побутова техніка",15,14
"c-1125139","Побутова техніка",11,9
"c-1125140","Побутова техніка",11,10
"c-1125141","Побутова техніка",10,10
"c-1125146","Побутова техніка",11,7
"c-1126141","Побутова техніка",30,17
"c-1126891","Телефони, аксесуари",34,28
"c-1128528","Побутова техніка",16,13
"c-1134609","Побутова техніка",15,13
"c-1136291","Побутова техніка",20,20
"c-1138244","Побутова техніка",16,10
"c-1138248","Побутова техніка",13,9
"c-1142015","Побутова техніка",30,16
"c-1143057","Телефони, аксесуари",17,16
